decimal,wire,metric,tap,sti
0.0135,80,-0.3429,,
0.0145,79,-0.3683,,
0.0156,,-0.3962,,
0.0157,,-0.3988,,
0.016,78,-0.4064,,
0.018,77,-0.4572,,
0.0197,,0.5,,
0.02,76,-0.508,,
0.021,75,-0.5334,,
0.0225,74,-0.5715,,
0.0295,,-0.7493,,
0.024,73,-0.6096,,
0.025,72,-0.635,,
0.026,71,-0.6604,,
0.0276,,-0.701,,
0.028,70,-0.7112,,
0.0292,69,-0.7417,,
0.0295,,-0.7493,M1x0.25,
0.031,68,-0.7874,,
0.0313,,-0.7938,,
0.0315,,0.8,,
0.032,67,-0.8128,,
0.033,66,-0.8382,,
0.0335,,-0.8509,M1.1x0.25,
0.035,65,-0.889,,
0.0354,,0.9,,
0.036,64,-0.9144,,
0.037,63,-0.9398,,
0.0374,,0.95,M1.2x0.25,
0.038,62,-0.9652,,
0.039,61,-0.9906,,
0.0394,,1,,
0.04,60,-1.016,,
0.041,59,-1.0414,,
0.042,58,-1.0668,,
0.043,57,-1.0922,,
0.0433,,1.1,M1.4x0.3,
0.0465,56,-1.1811,,
0.0469,,-1.1913,#0-80,
0.0472,,1.2,M1.6x0.35,
0.052,55,-1.3208,,
0.055,54,-1.397,,
0.0595,53,-1.5113,#1-64 #-72,
0.0625,,-1.5875,,
0.063,,1.6,M2x0.4,
0.0635,52,-1.6129,,
0.067,51,-1.7018,,
0.0689,,1.75,M2.2x0.45,
0.07,50,-1.778,#2-56 #2-64,
0.073,49,-1.8542,,
0.076,48,-1.9304,,
0.0781,,-1.9837,,
0.0785,47,-1.9939,#3-48,#1-64
0.0787,,2,,
0.0807,,2.05,M2x0.045,
0.081,46,-2.0574,,
0.082,45,-2.0828,#3-56,
0.0827,,2.1,,M2x0.4
0.086,44,-2.1844,,
0.089,43,-2.2606,#4-40,
0.0906,,2.3,,M2.2x0.45
0.0925,,2.35,,#2-64
0.0935,42,-2.3749,#4-48,
0.0938,,-2.3825,,#2-56
0.096,41,-2.4384,,
0.098,40,-2.4892,,
0.0984,,2.5,M3x1.5,M2.5x0.45
0.0995,39,-2.5273,,
0.1015,38,-2.5781,#5-40,
0.104,37,-2.6416,#5-44,#3-56
0.1065,36,-2.7051,#6-32,#3-48
0.1094,,-2.7788,,
0.11,35,-2.794,,
0.111,34,-2.8194,,
0.113,33,-2.8702,#6-40,
0.1142,,2.9,M3.5x0.6,
0.116,32,-2.9464,,
0.1181,,3,,#4-48
0.12,31,-3.048,,#4-40
0.124,,3.15,,M3x0.5
0.125,8-Jan,-3.175,,
0.1285,30,-3.2639,,
0.1299,,3.3,M4x0.7,
0.136,29,-3.4544,#8-32 #8-36,#5-40
0.1405,28,-3.5687,,
0.1406,,-3.5712,,
0.144,27,-3.6576,,
0.1457,,3.7,M4.5x0.75,M3.5x0.6
0.147,26,-3.7338,,#6-32 #6-40
0.1495,25,-3.7973,#10-24,
0.152,24,-3.8608,,
0.154,23,-3.9116,,
0.1562,,-3.9675,,
0.157,22,-3.9878,,
0.1575,,4,,
0.159,21,-4.0386,#10-32,
0.161,20,-4.0894,,
0.1654,,4.2,M5x0.8,M4x.7
0.166,19,-4.2164,,
0.1695,18,-4.3053,,
0.1719,,-4.3663,,
0.173,17,-4.3942,,#8-32 #8-36
0.177,16,-4.4958,#12-24,
0.18,15,-4.572,,
0.182,14,-4.6228,#12-28,
0.185,13,-4.699,#12-32,
0.1875,16-Mar,-4.7625,,
0.189,12,-4.8006,,
0.191,11,-4.8514,,
0.1935,10,-4.9149,,
0.196,9,-4.9784,,
0.1969,,5,M6x1.0,
0.199,8,-5.0546,,
0.201,7,-5.1054,1/4-20,#10-32
0.2031,13/64,-5.1587,,#10-24
0.204,6,-5.1816,,
0.2047,,5.2,,M5x.08
0.2055,5,-5.2197,,
0.209,4,-5.3086,,
0.213,3,-5.4102,,
0.2188,,-5.5575,1/4-28 1/4-32,
0.221,2,-5.6134,,
0.228,1,-5.7912,,#12-24
0.234,A,-5.9436,,
0.2344,15/64,-5.9538,,
0.2362,,6,M7x1.0,
0.238,B,-6.0452,,
0.242,C,-6.1468,,
0.246,D,-6.2484,,
0.2461,,6.25,,M6x1
0.25,1/4 E,6.35,,
0.257,F,-6.5278,5/16-18,
0.261,G,-6.6294,,1/4-28
0.2656,17/64,-6.7462,5/16-20,
0.266,H,-6.7564,,1/4-24
0.2677,,6.8,M8x1.25,
0.272,I,-6.9088,5/16-24,
0.2756,,7,,
0.277,J,-7.0358,5/16-28,
0.281,K,-7.1374,,
0.2812,,-7.1425,,
0.2854,,7.25,,M7x1
0.29,L,-7.366,,
0.295,M,-7.493,,
0.2969,19/64,-7.5413,,
0.302,N,-7.6708,,
0.3071,,7.8,M9x1.25,
0.3125,5/16,-7.9375,3/8-16,
0.315,,8,,
0.316,O,-8.0264,,
0.323,P,-8.2042,,
0.3248,,8.25,,M8x1
0.3268,,8.3,,M8x1.25
0.3281,21/64,-8.3337,3/8-20,5/16-24
0.332,Q,-8.4328,,5/16-18
0.3346,,8.5,M10x1.5,
0.339,R,-8.6106,3/8-24,
0.3438,,-8.7325,3/8-28 3/8-32,
0.348,S,-8.8392,,
0.3543,,9,,
0.358,T,-9.0932,,
0.3594,23/64,-9.1288,,
0.368,U,-9.3472,7/16-14,
0.375,3/8,-9.525,7/16-16,
0.377,V,-9.5758,,
0.386,W,-9.8044,,
0.3906,25/64,-9.9212,7/16-20,3/8-24
0.3937,,10,,
0.397,X,-10.0838,,3/8-16
0.4016,,10.2,M12x1.75,
0.4035,,-10.25,,M10x1.25 M10x1
0.404,Y,-10.2616,7/16-28,
0.4062,13/32,-10.3175,7/16-32,
0.413,Z,-10.4902,,
0.4134,,10.5,,M10x1.5
0.4219,27/64,-10.7163,1/2-13,
0.4331,,11,,
0.4375,7/16,-11.1125,1/2-16,
0.4531,29/64,-11.5087,1/2-20,7/16-14 7/16-20
0.4688,15/32,-11.9075,1/2-28 1/2-32,
0.4724,,12,M14x2.0,
0.4823,,-12.25,,M12x1.5 M12x1.25
0.4844,31/64,-12.3038,9/16-12,
0.4921,,12.5,,M12x1.75
0.5,1/2,12.7,9/16-16,
